frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
115,78.0,180.0,0,77.9997523075,179.991386211,554,246,False,11.2635021383,21.9501690501,11.2635021383,21.9501690501,0.240366232285
116,78.0,182.0,0,77.999907677,181.996013734,554,246,False,11.2635245743,22.1946358212,11.2635245743,22.1946358212,0.244466772127
117,78.0,184.0,0,77.9999655896,183.998477133,554,246,False,11.2635329371,22.4388386748,11.2635329371,22.4388386748,0.24420285368
118,78.0,186.0,0,77.9999871747,185.999430627,554,246,False,11.2635360541,22.6828573935,11.2635360541,22.6828573935,0.2440187188
119,78.0,187.0,0,77.9999952198,187.017624029,554,246,False,11.2635372159,22.8070273206,11.2635372159,22.8070273206,0.124169927079
120,78.0,190.0,0,77.9999982184,189.971749646,554,246,False,11.2635376489,23.1672865422,11.2635376489,23.1672865422,0.360259221586
121,78.0,192.0,0,77.999999336,192.005640716,554,246,False,11.2635378103,23.4153220385,11.2635378103,23.4153220385,0.248035496342
122,78.0,193.0,0,77.9999997525,193.020712529,554,246,False,11.2635378704,23.539111284,11.2635378704,23.539111284,0.123789245488
123,78.0,194.0,0,77.9999999078,194.008610467,554,246,False,11.2635378928,23.6595866423,11.2635378928,23.6595866423,0.120475358293
124,79.0,196.0,0,78.982163638,195.985415545,554,246,False,11.4053665903,23.9006604323,11.4053665903,23.9006604323,0.279699752699
125,79.0,198.0,0,79.0103348828,197.99371263,554,246,False,11.4094346401,24.145574711,11.4094346401,24.145574711,0.244948061678
126,79.0,199.0,0,79.0046646813,199.015452179,554,246,False,11.4086158385,24.270177095,11.4086158385,24.270177095,0.124605074298
127,80.0,198.0,0,79.9839411631,198.042283528,554,246,False,11.5500276048,24.1514979912,11.5500276048,24.1514979912,0.184613155894
128,80.0,200.0,0,80.0109992549,199.963998609,554,246,False,11.5539349105,24.3858534889,11.5539349105,24.3858534889,0.23438806781
129,88.0,196.0,0,87.8622217712,196.091122662,554,246,False,12.6876854543,23.9135515441,12.6876854543,23.9135515441,1.22819356078
130,73.0,197.0,0,73.3520938995,196.949783992,554,246,False,10.5923601299,24.0182663405,10.5923601299,24.0182663405,2.09794027651
131,86.0,202.0,0,85.6511205677,201.905910028,554,246,False,12.3683928618,24.6226719546,12.3683928618,24.6226719546,1.87605927707
132,102.0,200.0,0,101.793482582,200.086178502,554,246,False,14.6994198674,24.4007534759,14.6994198674,24.4007534759,2.34156672175
133,101.0,202.0,0,101.222585178,201.966577039,554,246,False,14.6169798091,24.6300703706,14.6169798091,24.6300703706,0.243685455946
134,102.0,200.0,0,102.061623601,200.055751493,554,246,False,14.7381405922,24.397042865,14.7381405922,24.397042865,0.26264377726
135,104.0,204.0,0,104.004110635,203.917025607,554,246,False,15.018644135,24.8679299521,15.018644135,24.8679299521,0.548102988775
136,97.0,205.0,0,97.1611566211,205.017618005,554,246,False,14.0304919308,25.0021485372,14.0304919308,25.0021485372,0.997225855664
137,95.0,200.0,0,94.9785227529,200.115907536,554,246,False,13.7153101448,24.4043789678,13.7153101448,24.4043789678,0.675772163032
138,81.0,190.0,0,81.2021287938,190.13761468,554,246,False,11.725939176,23.1875139854,11.725939176,23.1875139854,2.33202856695
139,89.0,192.0,0,88.6929932619,191.841773369,554,246,False,12.8076524566,23.3953382157,12.8076524566,23.3953382157,1.10149649665
140,100.0,179.0,0,99.8137678258,179.198544931,554,246,False,14.4135404803,21.8534810891,14.4135404803,21.8534810891,2.22625239884
