frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
73,38.0,107.0,0,37.7829605401,106.922178224,551,241,False,5.48572929802,13.3098147167,5.48572929802,13.3098147167,1.46718977281
74,39.0,116.0,0,39.0693165172,115.860486598,551,241,False,5.67249604605,14.4224672114,5.67249604605,14.4224672114,1.12821868098
75,38.0,118.0,0,38.0686963196,118.067567136,551,241,False,5.5272154366,14.6972075273,5.5272154366,14.6972075273,0.310787220912
76,37.0,121.0,0,37.0276552886,121.013068819,551,241,False,5.37606610361,15.0638674878,5.37606610361,15.0638674878,0.396592545981
77,34.0,122.0,0,34.0460783618,122.039963864,551,241,False,4.94316927213,15.1916967466,4.94316927213,15.1916967466,0.451375659608
78,48.0,124.0,0,47.7156683585,123.998738192,551,241,False,6.92786473445,15.4355275758,6.92786473445,15.4355275758,1.99961735125
79,68.0,118.0,0,67.7725786848,118.141447133,551,241,False,9.83993882901,14.7064042074,9.83993882901,14.7064042074,3.00196542593
80,71.0,117.0,0,71.2126423211,116.97032935,551,241,False,10.3394036038,14.5606219108,10.3394036038,14.5606219108,0.520305236625
81,72.0,117.0,0,72.1291600888,116.967162177,551,241,False,10.4724733341,14.5602276569,10.4724733341,14.5602276569,0.133070314376
82,72.0,118.0,0,72.0683644836,117.96888227,551,241,False,10.463646386,14.6849231041,10.463646386,14.6849231041,0.1250074781
83,72.0,119.0,0,72.0264483386,118.987498509,551,241,False,10.4575605573,14.8117218061,10.4575605573,14.8117218061,0.12694466561
84,72.0,120.0,0,72.0099040178,119.995297269,551,241,False,10.4551584781,14.9371739339,10.4551584781,14.9371739339,0.125475122452
85,71.0,121.0,0,71.0215299234,120.998245151,551,241,False,10.3116558872,15.062022218,10.3116558872,15.062022218,0.190210640112
86,71.0,122.0,0,70.9910418703,121.999345842,551,241,False,10.3072293097,15.1866405612,10.3072293097,15.1866405612,0.124696936893
87,70.0,122.0,0,70.0136847883,122.017592508,551,241,False,10.1653262851,15.1889119305,10.1653262851,15.1889119305,0.141921201769
88,70.0,124.0,0,69.9880788699,123.971737901,551,241,False,10.1616085474,15.4321665437,10.1616085474,15.4321665437,0.243283021262
89,69.0,125.0,0,69.0125785664,125.005636339,551,241,False,10.0199751095,15.5608675941,10.0199751095,15.5608675941,0.191373956162
90,68.0,127.0,0,68.0055028023,126.985038242,551,241,False,9.87375721268,15.8072661712,9.87375721268,15.8072661712,0.286516896805
91,67.0,128.0,0,67.0020899605,128.011443323,551,241,False,9.72807113764,15.9350344385,9.72807113764,15.9350344385,0.193776063019
92,66.0,129.0,0,66.0007808258,129.005079586,551,241,False,9.58269050102,16.0587235999,9.58269050102,16.0587235999,0.190878333352
93,66.0,130.0,0,65.9824547874,130.001932217,551,241,False,9.5800297332,16.182813139,9.5800297332,16.182813139,0.12411806237
94,65.0,132.0,0,65.0104434029,131.982885705,551,241,False,9.43890285342,16.4294048595,9.43890285342,16.4294048595,0.284120173193
95,65.0,134.0,0,64.986868801,133.99276777,551,241,False,9.4354800437,16.6795976477,9.4354800437,16.6795976477,0.250216200276
96,64.0,135.0,0,64.0121274616,135.015099922,551,241,False,9.29395680023,16.8068589115,9.29395680023,16.8068589115,0.190326713022
97,64.0,136.0,0,63.9874983365,136.006479577,551,241,False,9.2903808837,16.9302671673,9.2903808837,16.9302671673,0.123460053381
