frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
18,,395.0,80.0,16,394.972461404,80.1128647663,526,211,False,60.0718572478,11.3904547061,60.0718572478,11.3904547061,1.63631860024
19,,399.0,75.0,16,399.057807045,74.9945227541,526,211,False,60.6932025924,10.6627283537,60.6932025924,10.6627283537,0.956898992239
20,,399.0,76.0,16,399.096148432,75.8886653738,526,211,False,60.6990339821,10.7898576361,60.6990339821,10.7898576361,0.127262954368
21,,399.0,77.0,16,399.039406122,76.9532736423,526,211,False,60.6904039729,10.9412237406,60.6904039729,10.9412237406,0.151611921223
22,,400.0,77.0,16,399.997021787,77.0001704041,526,211,False,60.836048941,10.9478915266,60.836048941,10.9478915266,0.145797517441
23,,401.0,77.0,16,400.998044591,77.0009050935,526,211,False,60.9882957553,10.9479959849,60.9882957553,10.9479959849,0.152246850132
24,,401.0,77.0,16,401.017067061,77.0003776162,526,211,False,60.9911889066,10.9479209881,60.9911889066,10.9479209881,0.00289412320725
25,,402.0,76.0,16,401.989376451,76.0179789983,526,211,False,61.1390686617,10.8082434595,61.1390686617,10.8082434595,0.203416405379
26,,402.0,77.0,16,402.013063963,76.9718820446,526,211,False,61.1426713252,10.943869485,61.1426713252,10.943869485,0.135673866266
27,,403.0,76.0,16,402.987847474,76.0235263953,526,211,False,61.2909273725,10.8090321889,61.2909273725,10.8090321889,0.200401975996
28,,403.0,77.0,16,403.012492321,76.9747233721,526,211,False,61.2946756382,10.9442734652,61.2946756382,10.9442734652,0.135293208688
29,,404.0,75.0,16,403.98763433,75.042458756,526,211,False,61.4429862099,10.669543899,61.4429862099,10.669543899,0.312205637784
30,,401.0,67.0,16,401.065921858,67.1253257051,526,211,False,60.998619294,9.54388517134,60.998619294,9.54388517134,1.21019400387
31,,401.0,65.0,16,400.97443636,64.9449330119,526,211,False,60.9847051498,9.23387673155,60.9847051498,9.23387673155,0.310320537751
32,,398.0,61.0,16,398.041581868,61.010277758,526,211,False,60.5386436301,8.6744470746,60.5386436301,8.6744470746,0.715494528582
33,,392.0,56.0,16,392.071453048,56.0231410415,526,211,False,59.6306392468,7.96537550353,59.6306392468,7.96537550353,1.1520652989
34,,381.0,52.0,16,381.118491009,51.9917127927,526,211,False,57.9647895071,7.39218665299,57.9647895071,7.39218665299,1.76170395183
35,,365.0,56.0,16,365.137740993,55.8534112737,526,211,False,55.5342571852,7.94124330906,55.5342571852,7.94124330906,2.49177659091
36,,359.0,62.0,16,358.877453068,61.9028242744,526,211,False,54.5821221396,8.8013494229,54.5821221396,8.8013494229,1.28309924487
37,,356.0,66.0,16,355.892494608,65.997418023,526,211,False,54.1281360621,9.38351915019,54.1281360621,9.38351915019,0.738258051088
38,,355.0,69.0,16,354.921299543,69.0184836825,526,211,False,53.980425786,9.81305455201,53.980425786,9.81305455201,0.454223499029
39,,356.0,79.0,16,355.933145761,78.8829654501,526,211,False,54.1343187469,11.2155875048,54.1343187469,11.2155875048,1.41095064653
40,,362.0,90.0,16,361.884105173,89.9326127204,526,211,False,55.0394076309,12.786627401,55.0394076309,12.786627401,1.8131056901
41,,376.0,97.0,16,375.809759876,97.0450916798,526,211,False,57.1573779279,13.7978803336,57.1573779279,13.7978803336,2.34700461713
42,,390.0,94.0,16,389.922057767,94.1985294447,526,211,False,59.3037350216,13.3931558452,59.3037350216,13.3931558452,2.18418192583
43,,396.0,81.0,16,396.113303608,81.26105462,526,211,False,60.24536937,11.5537044483,60.24536937,11.5537044483,2.06645994097
44,,386.0,69.0,16,386.334423592,69.0884144901,526,211,False,58.7580872383,9.82299732087,58.7580872383,9.82299732087,2.2819630366
45,,374.0,74.0,16,374.174300409,73.7293106953,526,211,False,56.9086388455,10.4828403832,56.9086388455,10.4828403832,1.96363240571
46,,373.0,88.0,16,372.871141106,87.7240521444,526,211,False,56.7104397119,12.472614049,56.7104397119,12.472614049,1.99962049836
47,,389.0,96.0,16,388.639479311,95.9957905603,526,211,False,59.1086660549,13.648690601,59.1086660549,13.648690601,2.67107574739
48,,401.0,89.0,16,400.922019339,89.2706964445,526,211,False,60.9767329793,12.6925160822,60.9767329793,12.6925160822,2.09855753901
49,,397.0,73.0,16,397.259015246,73.2744489495,526,211,False,60.4196220906,10.4181680971,60.4196220906,10.4181680971,2.34158734611
50,,384.0,71.0,16,384.270851991,70.860888296,526,211,False,58.4442360443,10.0750078146,58.4442360443,10.0750078146,2.00497107504
51,,375.0,85.0,16,375.037947147,84.6512173278,526,211,False,57.0399919615,12.0357181035,57.0399919615,12.0357181035,2.41169780048
52,,384.0,100.0,16,383.690074546,99.8379572358,526,211,False,58.3559048739,14.1949702231,58.3559048739,14.1949702231,2.52863530567
53,,399.0,101.0,16,398.761959715,101.187779193,526,211,False,60.6482068008,14.3868880369,60.6482068008,14.3868880369,2.30032184076
54,,413.0,90.0,16,412.923251555,90.2959005551,526,211,False,62.8020154456,12.8382796998,62.8020154456,12.8382796998,2.65274941534
55,,414.0,73.0,16,414.203839897,73.2281156982,526,211,False,62.9967817334,10.411580431,62.9967817334,10.411580431,2.4345026695
56,,407.0,62.0,16,407.229788564,61.9836429725,526,211,False,61.9360895154,8.81284023306,61.9360895154,8.81284023306,1.91860319029
57,,392.0,55.0,16,392.235697141,54.9177066612,526,211,False,59.655619337,7.80820473856,59.655619337,7.80820473856,2.49195439593
58,,375.0,59.0,16,375.130701319,58.7694820008,526,211,False,57.0540990599,8.35585052144,57.0540990599,8.35585052144,2.65853787931
59,,365.0,69.0,16,364.925910845,68.7975007912,526,211,False,55.5020396722,9.78163518358,55.5020396722,9.78163518358,2.10754602457
60,,363.0,87.0,16,362.82381844,86.7762557944,526,211,False,55.1823298008,12.3378562741,55.1823298008,12.3378562741,2.5761367715
61,,375.0,100.0,16,374.677516138,99.9986932834,526,211,False,56.9851735571,14.2178236896,56.9851735571,14.2178236896,2.60471171018
62,,390.0,102.0,16,389.814006272,102.199640812,526,211,False,59.2873013341,14.5307546178,59.2873013341,14.5307546178,2.32329896217
63,,404.0,93.0,16,403.945364793,93.2801859329,526,211,False,61.436557383,13.2625856777,61.436557383,13.2625856777,2.49550676701
64,,408.0,80.0,16,408.158702769,80.1856223699,526,211,False,62.0773692424,11.4007993891,62.0773692424,11.4007993891,1.96898146857
65,,407.0,61.0,16,407.156901821,61.1800877575,526,211,False,61.9250040792,8.69859067642,61.9250040792,8.69859067642,2.7065008904
66,,401.0,43.0,16,401.15233923,43.0545924367,526,211,False,61.0117626205,6.12150603365,61.0117626205,6.12150603365,2.7341132416
