frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
22,488.0,30.0,0,488.010118533,30.0610188783,520,215,False,75.0784797743,4.19456077372,75.0784797743,4.19456077372,1.49650234075
23,489.0,29.0,0,489.004513615,28.8521814168,520,215,False,75.2314636331,4.02588577909,75.2314636331,4.02588577909,0.227717620874
24,488.0,18.0,0,488.037390471,18.1151067981,520,215,False,75.0826754571,2.52768932067,75.0826754571,2.52768932067,1.50556652106
25,492.0,19.0,0,491.926463182,18.8370111251,520,215,False,75.6809943357,2.62842015699,75.6809943357,2.62842015699,0.606738973443
26,495.0,20.0,0,494.986242008,19.9293986162,520,215,False,76.1517295397,2.78084631854,76.1517295397,2.78084631854,0.494798309425
27,498.0,19.0,0,497.995525422,19.0088869238,520,215,False,76.6146962188,2.65240282658,76.6146962188,2.65240282658,0.480453823549
28,500.0,19.0,0,500.016199844,18.9871605192,520,215,False,76.9255692068,2.64937123524,76.9255692068,2.64937123524,0.310887769483
29,502.0,18.0,0,502.006892986,18.0122779115,520,215,False,77.2318296902,2.51334110393,77.2318296902,2.51334110393,0.335111444607
30,503.0,18.0,0,503.020446368,17.9875564081,520,215,False,77.3877609797,2.50989159183,77.3877609797,2.50989159183,0.155969439926
31,503.0,19.0,0,503.02631252,18.9767112728,520,215,False,77.3886634646,2.64791320086,77.3886634646,2.64791320086,0.138024559545
32,503.0,18.0,0,503.01070158,18.0261000531,520,215,False,77.3862617815,2.51526977485,77.3862617815,2.51526977485,0.132665167033
33,504.0,18.0,0,503.986195122,17.9935559684,520,215,False,77.5363377111,2.51072873978,77.5363377111,2.51072873978,0.150144615709
34,503.0,18.0,0,503.029675855,17.9968243017,520,215,False,77.3891809008,2.51118478628,77.3891809008,2.51118478628,0.147157516962
35,476.0,27.0,0,476.476471533,26.8382523847,520,215,False,73.3040725435,3.74487242577,73.3040725435,3.74487242577,4.26732884626
36,470.0,28.0,0,469.82529765,28.0747209994,520,215,False,72.2808150231,3.91740293015,72.2808150231,3.91740293015,1.03770069294
37,469.0,27.0,0,468.828845217,27.0699830815,520,215,False,72.1275146488,3.7772069416,72.1275146488,3.7772069416,0.207740029765
38,469.0,26.0,0,468.91329708,26.0281000665,520,215,False,72.1405072431,3.63182791626,72.1405072431,3.63182791626,0.145958447917
39,468.0,25.0,0,467.984424416,25.0105698159,520,215,False,71.9976037563,3.48984695106,71.9976037563,3.48984695106,0.201444784023
40,468.0,24.0,0,467.977159504,24.00394415,520,215,False,71.9964860775,3.34938755581,71.9964860775,3.34938755581,0.140463842029
41,468.0,22.0,0,467.990671774,22.0193065938,520,215,False,71.9985648883,3.07246138518,71.9985648883,3.07246138518,0.276933973061
42,469.0,21.0,0,468.978647887,20.9902131057,520,215,False,72.1505612134,2.92886694498,72.1505612134,2.92886694498,0.209098651582
43,469.0,18.0,0,469.009022642,18.0312122181,520,215,False,72.1552342526,2.5159831002,72.1552342526,2.5159831002,0.412910288776
44,470.0,17.0,0,469.986339172,16.9776288431,520,215,False,72.3055906418,2.36897146648,72.3055906418,2.36897146648,0.210284246276
45,470.0,17.0,0,470.011930056,16.972198314,520,215,False,72.3095277009,2.36821371823,72.3095277009,2.36821371823,0.00400931622353
46,471.0,16.0,0,470.98742476,16.0065427798,520,215,False,72.4596038092,2.23347108555,72.4596038092,2.23347108555,0.201688907345
47,480.0,42.0,0,479.851807817,41.5216667345,520,215,False,73.8233550488,5.7937209397,73.8233550488,5.7937209397,3.81250527439
48,461.0,77.0,0,461.437316219,76.6381835251,520,215,False,70.9903563414,10.6937000268,70.9903563414,10.6937000268,5.66000677824
49,437.0,103.0,0,437.275747113,103.016889347,520,215,False,67.2731918635,14.3744496763,67.2731918635,14.3744496763,5.23117861845
50,438.0,132.0,0,437.662262777,131.960047654,520,215,False,67.3326558118,18.4130299052,67.3326558118,18.4130299052,4.03901797796
51,443.0,153.0,0,442.781694084,153.125586602,520,215,False,68.1202606283,21.3663609212,68.1202606283,21.3663609212,3.05654796085
52,443.0,171.0,0,443.003392617,171.107039597,520,215,False,68.1543680949,23.875400874,68.1543680949,23.875400874,2.50927176766
53,466.0,170.0,0,465.595085075,170.38166791,520,215,False,71.6300130885,23.77418622,71.6300130885,23.77418622,3.47711842296
54,492.0,152.0,0,491.776135261,152.461826613,520,215,False,75.6578669632,21.2737432483,75.6578669632,21.2737432483,4.74086720876
55,487.0,126.0,0,487.465997461,126.330113684,520,215,False,74.9947688402,17.6274577233,74.9947688402,17.6274577233,3.70608921243
56,476.0,100.0,0,476.306995643,100.130598764,520,215,False,73.2779993297,13.9717114554,73.2779993297,13.9717114554,4.03878426353
57,468.0,92.0,0,468.067292624,91.7279840656,520,215,False,72.0103527114,12.7992535905,72.0103527114,12.7992535905,1.72672678611
58,456.0,79.0,0,456.094170923,78.9724503771,520,215,False,70.1683339882,11.0194116805,70.1683339882,11.0194116805,2.56141956762
