animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171102-03-bottom,171102,11:44:00 AM,11:59:00 AM,m,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,2.7513703913,0.7997775306,0.2002224694,0.5995550612
171108-01-top,171108,03:10:00 PM,03:25:00 PM,m,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,2.2507357419,0.1640711902,0.8359288098,-0.6718576196
171108-01-bottom,171108,03:10:00 PM,03:25:00 PM,m,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,1.8196002268,0.6612903226,0.3387096774,0.3225806452
171108-02-top,171108,03:45:00 PM,04:00:00 PM,,True,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,1.8977711679,0.5719844358,0.4280155642,0.1439688716
171108-02-bottom,171108,03:45:00 PM,04:00:00 PM,f,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,2.5091466017,0.5839822024,0.4160177976,0.1679644049
171108-03-top,171108,04:20:00 PM,04:35:00 PM,m,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,4.1135602951,0.5283648498,0.4716351502,0.0567296997
171108-03-bottom,171108,04:20:00 PM,04:35:00 PM,m,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,1.9708869766,0.1524763495,0.8475236505,-0.6950473011
171108-04-top,171108,04:55:00 PM,05:10:00 PM,f,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,4.365899045,0.3715239155,0.6284760845,-0.2569521691
171108-04-bottom,171108,04:55:00 PM,05:10:00 PM,f,False,milliQ_water_100uL,E,171107,02:00:00 PM,orco5_gcamp,2.3081706023,0.7213570634,0.2786429366,0.4427141268
171116-01-top,171116,10:32:00 AM,10:47:00 AM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,2.790625465,0.3442714127,0.6557285873,-0.3114571746
171116-01-bottom,171116,10:32:00 AM,10:47:00 AM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.3874291446,0.3168426904,0.6831573096,-0.3663146192
171116-02-top,171116,11:08:00 AM,11:23:00 AM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,5.109633853,0.4488320356,0.5511679644,-0.1023359288
171116-02-bottom,171116,11:08:00 AM,11:23:00 AM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.6042696189,0.1434927697,0.8565072303,-0.7130144605
171116-03-top,171116,11:45:00 AM,12:00:00 PM,f,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,3.456733637,0.3592880979,0.6407119021,-0.2814238042
171116-03-bottom,171116,11:45:00 AM,12:00:00 PM,m,False,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,1.1207560422,0,1,-1
171116-04-top,171116,12:20:00 PM,12:35:00 PM,,True,milliQ_water_100uL,E,171115,10:00:00 AM,gr3_gcamp,4.2306802982,0.30756396,0.69243604,-0.3848720801
