animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background,A_mean_speed_mm,A_%_time_L_half,A_%_time_R_half,A_PI_(L-R),E_mean_speed_mm,E_%_time_L_half,E_%_time_R_half,E_PI_(L-R)
171116-04-top,171116,12:20:00 PM,12:35:00 PM,,True,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,3.8762566732977684,0.2814238042269188,0.7185761957730812,-0.43715239154616237,4.230680298234505,0.3075639599555061,0.6924360400444939,-0.38487208008898777
171116-04-bottom,171116,12:20:00 PM,12:35:00 PM,m,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.1571221253965716,0.1796440489432703,0.8203559510567296,-0.6407119021134593,3.3709083657959034,0.32406892718176766,0.6759310728182324,-0.35186214563646473
171116-05-top,171116,12:55:00 PM,01:10:00 PM,f,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.1115818303345013,0.35392320534223703,0.6460767946577629,-0.2921535893155259,1.9808341249206418,0.15136338341680577,0.8486366165831942,-0.6972732331663885
171116-05-bottom,171116,12:55:00 PM,01:10:00 PM,,True,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,6.062967260099591,0.4694104560622914,0.5305895439377085,-0.06117908787541709,4.281442196308574,0.7509727626459144,0.2490272373540856,0.5019455252918288
171116-06-top,171116,01:30:00 PM,01:45:00 PM,m,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.4928667601738024,0.3086763070077864,0.6913236929922135,-0.3826473859844271,2.9187444722689513,0.3125695216907675,0.6874304783092324,-0.3748609566184649
171116-06-bottom,171116,01:30:00 PM,01:45:00 PM,f,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,3.970656090860872,0.5200222469410456,0.4799777530589544,0.04004449388209119,5.148313432205262,0.5583982202447163,0.44160177975528364,0.11679644048943266
171116-07-top,171116,02:06:00 PM,02:21:00 PM,m,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.6716600919201685,0.7791991101223582,0.22080088987764182,0.5583982202447164,3.7417119323477177,0.5166852057842046,0.4833147942157953,0.03337041156840931
171116-07-bottom,171116,02:06:00 PM,02:21:00 PM,f,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.9722114209258716,0.29310344827586204,0.7068965517241379,-0.41379310344827586,3.4351501080216456,0.24916573971078976,0.7508342602892102,-0.5016685205784204
171116-08-top,171116,02:41:00 PM,02:56:00 PM,m,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,1.676779243221485,0.4549499443826474,0.5450500556173526,-0.09010011123470524,1.8886792569176658,0.6518353726362626,0.3481646273637375,0.3036707452725251
171116-08-bottom,171116,02:41:00 PM,02:56:00 PM,f,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.392274144335359,0.5672969966629589,0.43270300333704115,0.1345939933259177,1.8011055727772076,0.40656284760845385,0.5934371523915462,-0.1868743047830923
171116-09-top,171116,03:17:00 PM,03:32:00 PM,m,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,2.917866864154207,0.6195773081201335,0.3804226918798665,0.23915461624026696,3.4414302047824927,0.5862068965517241,0.41379310344827586,0.17241379310344823
171116-09-bottom,171116,03:17:00 PM,03:32:00 PM,f,False,milliQ_water_100uL,171115,10:00:00 AM,gr3_gcamp,1.879710050076644,0.7302558398220245,0.26974416017797553,0.46051167964404893,2.8172741911288774,0.4949944382647386,0.5050055617352615,-0.010011123470522854
171129-01-top,171129,02:09:00 PM,02:24:00 PM,m,False,milliQ_water_100uL,171128,13:45pm,gcamp,4.335123542556778,0.3503893214682981,0.6496106785317018,-0.29922135706340375,5.566350618459697,0.40878754171301446,0.5912124582869855,-0.18242491657397109
171129-01-bottom,171129,02:09:00 PM,02:24:00 PM,,True,milliQ_water_100uL,171128,13:45pm,gcamp,2.239742620985601,0.0879243183082916,0.9120756816917084,-0.8241513633834168,2.6435460479039086,0.364293659621802,0.635706340378198,-0.27141268075639596
171129-02-top,171129,02:44:00 PM,02:59:00 PM,m,False,milliQ_water_100uL,171128,13:45pm,gcamp,1.7437669002848541,0.39988876529477196,0.600111234705228,-0.20022246941045602,1.3998427601255525,0.21468298109010012,0.7853170189098999,-0.5706340378197998
171129-02-bottom,171129,02:44:00 PM,02:59:00 PM,f,False,milliQ_water_100uL,171128,14:45pm,gcamp,2.6066789783709265,0.44160177975528364,0.5583982202447163,-0.11679644048943266,3.4002694174946755,0.22080088987764182,0.7791991101223582,-0.5583982202447164
171129-03-top,171129,03:19:00 PM,03:34:00 PM,m,False,milliQ_water_100uL,171128,14:45pm,gcamp,6.139271332510269,0.303670745272525,0.696329254727475,-0.39265850945494996,8.728813512538354,0.4844271412680756,0.5155728587319244,-0.031145717463848754
171129-03-bottom,171129,03:19:00 PM,03:34:00 PM,m,False,milliQ_water_100uL,171128,14:45pm,gcamp,2.9543536303112563,0.3567056204785754,0.6432943795214245,-0.28658875904284914,2.036922754012862,0.9377085650723026,0.06229143492769744,0.8754171301446052
171129-04-top,171129,03:55:00 PM,04:10:00 PM,m,False,milliQ_water_100uL,171128,15:45pm,gcamp,4.386764385335061,0.3387096774193548,0.6612903225806451,-0.3225806451612903,6.866256181434217,0.5617352614015573,0.4382647385984427,0.12347052280311455
171129-04-bottom,171129,03:55:00 PM,04:10:00 PM,m,False,milliQ_water_100uL,171128,15:45pm,gcamp,2.0375347384403004,0.6134593993325917,0.38654060066740825,0.2269187986651835,5.087536037563763,0.4855394883203559,0.514460511679644,-0.02892102335928809
