animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background
171218-03-bottom,171218,12:52:00 PM,01:07:00 PM,,TRUE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-04-top,171218,01:25:00 PM,01:40:00 PM,f,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-04-bottom,171218,01:25:00 PM,01:40:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-05-top,171218,02:17:00 PM,02:32:00 PM,,TRUE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-05-bottom,171218,02:17:00 PM,02:32:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-06-top,171218,02:52:00 PM,03:07:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-06-bottom,171218,02:52:00 PM,03:07:00 PM,f,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-07-top,171218,03:27:00 PM,03:42:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-07-bottom,171218,03:27:00 PM,03:42:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-08-top,171218,04:03:00 PM,04:18:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-08-bottom,171218,04:03:00 PM,04:18:00 PM,,TRUE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-09-top,171218,04:37:00 PM,04:52:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-09-bottom,171218,04:37:00 PM,04:52:00 PM,f,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-10-top,171218,05:11:00 PM,05:26:00 PM,,TRUE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
171218-10-bottom,171218,05:11:00 PM,05:26:00 PM,m,FALSE,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp
180112-01-top,180112,10:30:00 AM,10:45:00 AM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-01-bottom,180112,10:30:00 AM,10:45:00 AM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-02-top,180112,11:07:00 AM,11:22:00 AM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-02-bottom,180112,11:07:00 AM,11:22:00 AM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-03-top,180112,11:43:00 AM,11:58:00 AM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-03-bottom,180112,11:43:00 AM,11:58:00 AM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-04-top,180112,01:01:00 PM,01:16:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-04-bottom,180112,01:01:00 PM,01:16:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-05-top,180112,01:41:00 PM,01:56:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-05-bottom,180112,01:41:00 PM,01:56:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-06-top,180112,02:16:00 PM,02:31:00 PM,,TRUE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-06-bottom,180112,02:16:00 PM,02:31:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-07-top,180112,02:51:00 PM,03:06:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-07-bottom,180112,02:51:00 PM,03:06:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-08-top,180112,03:28:00 PM,03:43:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-08-bottom,180112,03:28:00 PM,03:43:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-09-top,180112,04:03:00 PM,04:18:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-09-bottom,180112,04:03:00 PM,04:18:00 PM,f,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-10-top,180112,04:38:00 PM,04:53:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180112-10-bottom,180112,04:38:00 PM,04:53:00 PM,m,FALSE,milliQ_water_100uL,180111,10:30:00 AM,wt
180222-01-top,180222,10:20:00 AM,10:35:00 AM,f,FALSE,1-octen-3-ol_100um,180221,09:30:00 AM,gcamp
