frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
995,407.0,146.0,16,407.22505156,146.200863719,521,212,False
996,387.0,123.0,16,386.760972045,123.291792399,521,212,False
997,363.0,102.0,16,362.966803127,102.083463928,521,212,False
998,357.0,76.0,16,356.669247861,76.1190795935,521,212,False
999,347.0,62.0,16,346.932832851,61.8345567347,521,212,False
1000,344.0,47.0,16,343.852796594,46.9461318397,521,212,False
1001,331.0,28.0,16,331.117651891,28.0516408553,521,212,False
1002,313.0,28.0,16,313.141288113,27.6837892025,521,212,False
1003,319.0,30.0,16,318.629251262,29.8304173504,521,212,False
1004,339.0,28.0,16,338.591845396,28.0056639018,521,212,False
1005,351.0,22.0,16,350.977645659,22.0767521117,521,212,False
1006,330.0,15.0,16,330.586477215,15.050014973,521,212,False
1007,324.0,8.0,16,323.97950878,8.01966584293,521,212,False
1008,301.0,21.0,16,301.284138968,20.6506522366,521,212,False
1009,285.0,22.0,16,284.995011643,22.0667598256,521,212,False
1010,244.0,26.0,16,244.438742239,25.9807993069,521,212,False
1011,215.0,37.0,16,214.970575055,36.8658797129,521,212,False
1012,185.0,53.0,16,184.997635516,52.854753805,521,212,False
1013,161.0,65.0,16,160.892512435,65.012651269,521,212,False
1014,138.0,65.0,16,137.936999755,65.2219473396,521,212,False
1015,114.0,67.0,16,113.993257471,67.0574461807,521,212,False
1016,105.0,65.0,16,104.730743071,65.0915467499,521,212,False
1017,121.0,43.0,16,120.440970569,43.3942037791,521,212,False
1018,145.0,22.0,16,144.627000686,22.1463212676,521,212,False
1019,176.0,16.0,16,175.728244257,15.7869623368,521,212,False
1020,216.0,17.0,16,215.73183356,16.782938531,521,212,False
1021,261.0,10.0,16,260.802882611,10.0552007949,521,212,False
1022,296.0,6.0,16,296.100244635,5.97357841875,521,212,False
1023,334.0,8.0,16,333.992166797,7.88088531915,521,212,False
1024,381.0,7.0,16,380.834390642,7.00388413418,521,212,False
1025,413.0,19.0,16,413.198034231,18.7718858617,521,212,False
1026,448.0,45.0,16,448.032732222,44.6542840736,521,212,False
1027,470.0,72.0,16,470.24210626,71.8408344949,521,212,False
1028,484.0,108.0,16,484.243929532,107.778699049,521,212,False
1029,482.0,150.0,16,482.383652503,149.802748326,521,212,False
1030,481.0,171.0,16,481.139165764,171.295551855,521,212,False
1031,466.0,160.0,16,466.30139464,160.698581099,521,212,False
1032,441.0,155.0,16,441.302638743,155.181513028,521,212,False
1033,405.0,133.0,16,405.318104737,133.36709646,521,212,False
1034,378.0,126.0,16,377.967860534,125.883607476,521,212,False
1035,336.0,108.0,16,336.248354185,108.140700697,521,212,False
1036,302.0,108.0,16,301.962333056,107.740196671,521,212,False
1037,258.0,97.0,16,258.158091946,97.084424422,521,212,False
1038,223.0,78.0,16,222.906633689,78.1828309736,521,212,False
1039,180.0,60.0,16,180.100603732,60.057551152,521,212,False
1040,141.0,39.0,16,140.972630956,39.0744522624,521,212,False
1041,118.0,16.0,16,117.701313747,16.065958574,521,212,False
1042,113.0,13.0,16,112.55381566,12.669685719,521,212,False
1043,78.0,18.0,16,78.3527653541,17.7172125011,521,212,False
1044,35.0,20.0,16,35.2990115876,19.9404685164,521,212,False
1045,15.0,25.0,16,14.7092278589,24.926497726,521,212,False
1046,17.0,37.0,16,16.4799773597,36.8452946468,521,212,False
1047,44.0,89.0,16,43.3405719716,88.2227934097,521,212,False
1048,55.0,125.0,16,55.017320606,124.961270507,521,212,False
1049,92.0,165.0,16,91.5553017915,164.926228721,521,212,False
1050,149.0,146.0,16,148.455937595,147.022008102,521,212,False
1051,195.0,126.0,16,194.975314827,126.448978524,521,212,False
1052,227.0,73.0,16,227.249030808,73.7591970303,521,212,False
1053,211.0,42.0,16,211.961319012,41.9188884866,521,212,False
1054,172.0,17.0,16,172.81009609,16.8453276434,521,212,False
1055,125.0,47.0,16,125.466246681,45.955398094,521,212,False
1056,123.0,81.0,16,122.379005686,80.4920848032,521,212,False
1057,142.0,120.0,16,141.355949146,119.715836111,521,212,False
1058,181.0,141.0,16,180.383480961,141.210602309,521,212,False
1059,215.0,153.0,16,214.841379463,153.254168493,521,212,False
1060,250.0,163.0,16,249.926449,163.138812036,521,212,False
1061,295.0,166.0,16,294.793532556,166.178701098,521,212,False
1062,346.0,124.0,16,345.807459812,124.875315243,521,212,False
1063,368.0,83.0,16,368.439959412,83.3471080095,521,212,False
1064,350.0,39.0,16,350.901921233,39.1838799383,521,212,False
1065,324.0,17.0,16,324.514164762,16.6787441255,521,212,False
1066,285.0,7.0,16,285.432027791,6.64757360458,521,212,False
1067,238.0,21.0,16,238.315217924,20.4294380419,521,212,False
1068,240.0,9.0,16,239.250885496,9.2300690219,521,212,False
1069,284.0,21.0,16,282.930196501,20.6788650952,521,212,False
1070,307.0,34.0,16,306.937996613,33.8430002408,521,212,False
1071,328.0,63.0,16,328.02867723,62.6543171695,521,212,False
1072,357.0,92.0,16,356.870476087,91.8574163223,521,212,False
1073,391.0,110.0,16,390.855832938,110.142398837,521,212,False
1074,431.0,121.0,16,430.834659862,121.187286203,521,212,False
1075,473.0,121.0,16,472.897361583,121.27242677,521,212,False
1076,492.0,117.0,16,492.370017912,117.182579456,521,212,False
1077,479.0,73.0,16,479.728211768,73.7853815313,521,212,False
1078,453.0,26.0,16,453.531536835,26.3805606845,521,212,False
1079,450.0,11.0,16,449.800324517,10.5752817654,521,212,False
1080,472.0,17.0,16,471.460633541,16.4400253847,521,212,False
1081,496.0,19.0,16,495.741047238,18.843411959,521,212,False
1082,491.0,20.0,16,491.417965943,19.9619679185,521,212,False
1083,476.0,71.0,16,476.358766159,70.0949814068,521,212,False
1084,479.0,109.0,16,478.822377564,108.851926552,521,212,False
1085,475.0,139.0,16,475.043752478,139.096557515,521,212,False
1086,456.0,171.0,16,456.289114044,171.007577667,521,212,False
1087,437.0,169.0,16,437.120812435,169.60789985,521,212,False
1088,390.0,170.0,16,390.545070578,170.202020561,521,212,False
1089,337.0,157.0,16,337.334103683,157.32382976,521,212,False
1090,303.0,154.0,16,302.791901848,153.954226641,521,212,False
1091,252.0,150.0,16,252.209738457,149.992809472,521,212,False
1092,217.0,143.0,16,216.806540258,143.051301288,521,212,False
1093,177.0,132.0,16,177.004077227,132.093049368,521,212,False
1094,145.0,117.0,16,144.862474752,117.109564096,521,212,False
1095,108.0,94.0,16,108.031269862,94.187110381,521,212,False
1096,76.0,81.0,16,75.9264224869,80.8983755964,521,212,False
1097,69.0,75.0,16,68.5225895442,74.8290681256,521,212,False
1098,67.0,73.0,16,66.7113459938,72.8585784038,521,212,False
1099,66.0,71.0,16,65.8692795821,70.9435710553,521,212,False
1100,65.0,71.0,16,64.950171385,70.9431174412,521,212,False
1101,64.0,70.0,16,63.9813751301,69.9949196905,521,212,False
1102,64.0,70.0,16,63.9752193624,69.9810416204,521,212,False
1103,63.0,69.0,16,63.0077465234,69.0099536078,521,212,False
1104,63.0,69.0,16,62.9858636267,68.9866880134,521,212,False
1105,64.0,69.0,16,63.9760801623,68.9942238363,521,212,False
1106,64.0,68.0,16,64.0080284921,68.0156444809,521,212,False
1107,64.0,68.0,16,64.0038031885,67.988846304,521,212,False
1108,64.0,68.0,16,64.0014563098,67.9950300452,521,212,False
1109,64.0,68.0,16,64.0005446459,67.9981087249,521,212,False
1110,65.0,68.0,16,64.9823667592,67.9992932314,521,212,False
