frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
102,505.0,18.0,0,504.887625498,17.9194175335,536,229,False
103,504.0,18.0,0,504.076270348,18.0014113871,536,229,False
104,502.0,19.0,0,502.051917729,18.9841945554,536,229,False
105,499.0,20.0,0,499.038311006,19.9933275234,536,229,False
106,497.0,20.0,0,496.997350127,20.0153119923,536,229,False
107,496.0,20.0,0,495.980365887,20.0065587837,536,229,False
108,494.0,38.0,0,494.009626064,37.681431424,536,229,False
109,494.0,40.0,0,493.968725983,40.1512837338,536,229,False
110,495.0,41.0,0,494.968839052,41.0871438861,536,229,False
111,496.0,41.0,0,495.98745244,41.0517881231,536,229,False
112,495.0,40.0,0,495.030951319,40.0380625539,536,229,False
113,496.0,39.0,0,495.977568357,39.0150842747,536,229,False
114,496.0,38.0,0,496.007850184,38.0056651037,536,229,False
115,497.0,37.0,0,496.985865326,37.0021135271,536,229,False
116,496.0,35.0,0,496.029588011,35.0186241699,536,229,False
117,497.0,34.0,0,496.977023298,33.98995875,536,229,False
118,491.0,48.0,0,491.11466323,47.7278998464,536,229,False
119,488.0,52.0,0,487.995124801,52.0641050963,536,229,False
120,488.0,54.0,0,487.942395482,54.0674866306,536,229,False
121,490.0,55.0,0,489.940187543,55.0450758094,536,229,False
122,493.0,56.0,0,492.958035775,56.0177538389,536,229,False
123,496.0,57.0,0,495.983417922,57.0066627528,536,229,False
124,500.0,56.0,0,499.975938229,56.0381581487,536,229,False
125,502.0,55.0,0,502.025848749,55.01592935,536,229,False
126,503.0,54.0,0,503.029136721,54.0060188123,536,229,False
127,504.0,52.0,0,504.011792996,52.020083541,536,229,False
128,505.0,52.0,0,505.004440093,51.9726665348,536,229,False
129,506.0,50.0,0,506.001657028,50.0238187913,536,229,False
130,507.0,49.0,0,507.000617702,48.9926686804,536,229,False
131,508.0,48.0,0,508.000230232,47.996491824,536,229,False
132,509.0,48.0,0,509.000085811,47.9808190011,536,229,False
133,510.0,48.0,0,510.000031983,47.991995612,536,229,False
134,512.0,50.0,0,511.982175593,49.9613030545,536,229,False
135,513.0,55.0,0,513.010339339,54.9303589951,536,229,False
136,513.0,55.0,0,513.02250267,55.060582902,536,229,False
137,513.0,55.0,0,513.009279542,55.0267215169,536,229,False
138,511.0,47.0,0,511.039173991,47.1528483242,536,229,False
139,493.0,57.0,0,493.301691151,56.742752975,536,229,False
140,484.0,70.0,0,483.965656709,69.8355742724,536,229,False
141,470.0,82.0,0,470.069356803,81.9532720708,536,229,False
142,466.0,85.0,0,465.851418703,85.1438073142,536,229,False
143,457.0,91.0,0,457.025455667,91.0078055759,536,229,False
144,462.0,105.0,0,461.763647459,104.858027179,536,229,False
145,466.0,102.0,0,465.917979402,102.243368776,536,229,False
146,480.0,101.0,0,479.791356947,101.069213329,536,229,False
147,484.0,103.0,0,484.092077124,102.971259292,536,229,False
148,489.0,103.0,0,489.024610014,103.022350652,536,229,False
149,492.0,103.0,0,492.044380582,103.009912652,536,229,False
150,495.0,104.0,0,495.018226208,103.985933987,536,229,False
151,499.0,104.0,0,498.98903749,104.011743773,536,229,False
152,500.0,105.0,0,500.048573387,104.987353642,536,229,False
153,501.0,106.0,0,501.020624061,105.99447185,536,229,False
154,502.0,107.0,0,502.007807499,106.997900588,536,229,False
155,503.0,109.0,0,503.002915746,108.981379324,536,229,False
156,504.0,110.0,0,504.001087019,110.010042468,536,229,False
157,504.0,110.0,0,504.01824149,110.022392017,536,229,False
158,501.0,105.0,0,501.061161425,105.098419937,536,229,False
159,497.0,92.0,0,497.043233653,92.1836837449,536,229,False
160,499.0,92.0,0,498.910073935,91.8436242426,536,229,False
161,500.0,92.0,0,499.979244954,91.930956737,536,229,False
162,490.0,95.0,0,490.189074596,94.9202426316,536,229,False
163,471.0,92.0,0,471.240416326,92.0747058531,536,229,False
164,466.0,94.0,0,465.848031015,93.9436600133,536,229,False
165,456.0,84.0,0,456.020979832,84.1890085207,536,229,False
166,436.0,81.0,0,436.189897342,80.9556420002,536,229,False
167,418.0,74.0,0,418.043818348,74.0493184294,536,229,False
168,419.0,80.0,0,418.676151406,79.7896607981,536,229,False
169,421.0,86.0,0,420.845180971,85.9106578917,536,229,False
170,422.0,89.0,0,421.958500292,89.0196860128,536,229,False
171,423.0,90.0,0,422.985307853,90.0455455452,536,229,False
172,424.0,94.0,0,423.99456112,93.9652950006,536,229,False
173,425.0,96.0,0,424.997974622,96.0202643934,536,229,False
174,426.0,97.0,0,425.999245195,97.026977942,536,229,False
175,427.0,98.0,0,426.999718677,98.0109846823,536,229,False
176,428.0,99.0,0,427.999895147,99.0041386452,536,229,False
177,420.0,102.0,0,420.160487868,101.96587201,536,229,False
178,394.0,86.0,0,394.388552219,86.3244631828,536,229,False
179,381.0,82.0,0,380.928678801,81.9230324073,536,229,False
180,387.0,81.0,0,386.624183844,80.908333492,536,229,False
181,389.0,80.0,0,388.914560256,79.9628205965,536,229,False
182,392.0,80.0,0,391.952933423,79.9681621085,536,229,False
183,394.0,80.0,0,393.999565448,79.9872730683,536,229,False
184,396.0,79.0,0,396.000656735,79.0130516275,536,229,False
185,399.0,79.0,0,398.982447627,78.9878798027,536,229,False
186,382.0,110.0,0,382.349332829,109.441743655,536,229,False
187,379.0,117.0,0,378.897523542,117.193501931,536,229,False
188,375.0,112.0,0,374.968506945,112.305374365,536,229,False
189,373.0,110.0,0,372.952910101,110.071471081,536,229,False
190,372.0,107.0,0,371.962920774,107.042448194,536,229,False
191,371.0,106.0,0,370.985245485,105.980905018,536,229,False
192,370.0,104.0,0,369.994456044,104.009048423,536,229,False
193,370.0,103.0,0,369.980095215,102.986309756,536,229,False
194,369.0,102.0,0,369.009563847,101.994080898,536,229,False
195,369.0,101.0,0,368.986540972,100.997754784,536,229,False
196,369.0,100.0,0,368.994168947,99.9991613037,536,229,False
197,369.0,99.0,0,368.997787691,98.9996873155,536,229,False
198,368.0,98.0,0,368.0170099,97.9998834534,536,229,False
199,368.0,98.0,0,367.989356993,97.9821202335,536,229,False
200,368.0,97.0,0,367.995220472,97.0103187053,536,229,False
201,347.0,123.0,0,347.372742584,122.523077807,536,229,False
202,342.0,120.0,0,341.871468516,120.31649008,536,229,False
203,334.0,110.0,0,333.992804083,110.266467203,536,229,False
204,331.0,107.0,0,330.910084502,106.981568912,536,229,False
205,329.0,104.0,0,328.944476221,103.987495633,536,229,False
206,328.0,101.0,0,327.960415775,100.995069776,536,229,False
207,327.0,99.0,0,326.984342386,98.9803131979,536,229,False
208,326.0,97.0,0,325.994120908,96.9918082503,536,229,False
209,325.0,96.0,0,324.997806702,95.9790696049,536,229,False
210,324.0,95.0,0,323.999182425,94.9913434055,536,229,False
211,323.0,94.0,0,322.999695273,93.9967326137,536,229,False
212,322.0,93.0,0,321.999886423,92.9987802358,536,229,False
213,321.0,92.0,0,320.999957668,91.9995452814,536,229,False
214,321.0,92.0,0,320.982147895,91.9819941873,536,229,False
215,320.0,92.0,0,320.010329015,91.9924353981,536,229,False
216,318.0,90.0,0,318.022498822,90.0328123649,536,229,False
217,318.0,90.0,0,317.973605452,89.9782621799,536,229,False
218,317.0,90.0,0,317.006334265,89.9902724636,536,229,False
219,316.0,90.0,0,316.003134786,89.9962966087,536,229,False
