frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
125,283.0,152.0,0,282.839889417,152.558787457,549,244,False
126,279.0,122.0,0,279.311752811,122.088299634,549,244,False
127,274.0,89.0,0,274.151806126,89.0806784819,549,244,False
128,274.0,69.0,0,273.969103005,68.8004837839,549,244,False
129,268.0,58.0,0,268.091315939,57.7541234229,549,244,False
130,258.0,43.0,0,258.110301183,42.9714955291,549,244,False
131,256.0,37.0,0,255.902070054,36.8318704492,549,244,False
132,250.0,34.0,0,250.028191503,33.8762891147,549,244,False
133,226.0,44.0,0,226.33465712,43.7190974147,549,244,False
134,222.0,45.0,0,221.783517504,45.0445941751,549,244,False
135,221.0,46.0,0,220.849475827,46.0237652619,549,244,False
136,220.0,47.0,0,219.940555236,47.0091995701,549,244,False
137,221.0,47.0,0,220.942011433,47.0212815098,549,244,False
138,221.0,47.0,0,220.994508327,47.0087862872,549,244,False
139,213.0,84.0,0,213.141415289,83.3433715475,549,244,False
140,210.0,115.0,0,209.970391402,114.83070274,549,244,False
141,229.0,147.0,0,228.592625963,146.922674091,549,244,False
142,242.0,168.0,0,241.9362166,168.166698254,549,244,False
143,264.0,184.0,0,263.819913696,184.160669205,549,244,False
144,276.0,202.0,0,276.103761963,202.028926777,549,244,False
145,282.0,201.0,0,282.153869258,201.348190223,549,244,False
146,292.0,209.0,0,291.991516817,208.985395616,549,244,False
147,310.0,187.0,0,309.850997141,187.522737221,549,244,False
148,311.0,182.0,0,311.240702681,181.916890737,549,244,False
149,312.0,180.0,0,312.103890094,179.902214007,549,244,False
150,312.0,178.0,0,312.057236177,177.960356467,549,244,False
151,311.0,177.0,0,311.040055154,176.967234918,549,244,False
152,311.0,175.0,0,310.997988802,175.004763398,549,244,False
153,310.0,175.0,0,310.016276041,174.966915098,549,244,False
154,310.0,173.0,0,309.989044766,173.021673162,549,244,False
155,309.0,173.0,0,309.012938575,172.974032549,549,244,False
156,308.0,172.0,0,308.005636983,172.006528616,549,244,False
157,326.0,157.0,0,325.663249747,157.252917493,549,244,False
158,340.0,147.0,0,339.929617569,147.017071534,549,244,False
159,345.0,145.0,0,345.136932567,144.859978043,549,244,False
160,347.0,145.0,0,347.112354135,144.905133756,549,244,False
161,349.0,144.0,0,349.044810453,143.980435868,549,244,False
162,351.0,142.0,0,351.016841966,142.011300298,549,244,False
163,352.0,172.0,0,352.024120307,171.43433904,549,244,False
164,346.0,203.0,0,346.134698182,202.744061843,549,244,False
165,326.0,197.0,0,326.305928441,197.562393415,549,244,False
166,309.0,198.0,0,309.072752952,198.116236744,549,244,False
167,299.0,199.0,0,298.900286807,199.038854704,549,244,False
168,284.0,201.0,0,284.045947572,200.996431575,549,244,False
169,262.0,197.0,0,262.145957001,197.104824167,549,244,False
170,265.0,187.0,0,264.614657473,187.151167558,549,244,False
171,263.0,181.0,0,262.924514629,180.990361616,549,244,False
172,264.0,180.0,0,263.921617198,179.904068469,549,244,False
173,263.0,179.0,0,263.004053548,178.959825948,549,244,False
174,263.0,178.0,0,262.985266536,177.984815048,549,244,False
175,263.0,177.0,0,262.99373124,176.994330216,549,244,False
176,262.0,176.0,0,262.015462664,175.9978863,549,244,False
177,262.0,176.0,0,261.988778623,175.981375841,549,244,False
178,262.0,175.0,0,261.995004824,175.010041258,549,244,False
179,262.0,174.0,0,261.998099325,174.004555243,549,244,False
180,262.0,174.0,0,261.999289728,173.983900374,549,244,False
181,262.0,174.0,0,261.999735182,173.993147724,549,244,False
182,262.0,173.0,0,261.999901294,173.015241621,549,244,False
183,270.0,178.0,0,269.85727259,177.899514429,549,244,False
184,286.0,200.0,0,285.797284211,199.654249316,549,244,False
185,303.0,165.0,0,302.899453139,165.873050453,549,244,False
186,320.0,145.0,0,319.961328669,145.105801213,549,244,False
187,338.0,123.0,0,337.967693041,123.064597503,549,244,False
188,344.0,123.0,0,344.201138334,122.632881487,549,244,False
189,361.0,112.0,0,360.88896947,112.040648231,549,244,False
190,381.0,98.0,0,380.89620729,98.0771524727,549,244,False
191,385.0,97.0,0,385.243709474,96.7998507747,549,244,False
192,386.0,98.0,0,386.157857262,97.8787743822,549,244,False
